"Item,Year,Food supply quantity (kg/capita/yr),Import quantity (t),Export quantity (t),GDP(value/cappita),Population,Gov(expenditure),Demand Value (t)"
"Wheat and products,2010,58.56,185255,346,1345.8016,1243481564,20882.95,7279491.63"
"Wheat and products,2011,57.57,25,499901,1488.459342,1261224954,20460.26,7259474.24"
"Wheat and products,2012,59.83,1569,4584967,1460.098786,1278674502,19271.96,7648315.76"
"Wheat and products,2013,62.77,11644,6503635,1484.785136,1295829511,19080.57,8133522.77"
"Wheat and products,2014,60.85,18817.39,3950910.38,1562.780452,1312277191,18506.59,7985715.03"
"Wheat and products,2015,58.95,511915.59,602899.72,1622.808195,1328024498,29476.27,7831696.02"
"Wheat and products,2016,65.51,1910832.59,198965.28,1711.137592,1343944296,18873.08,8803218.81"
"Wheat and products,2017,64.62,5346726.88,201956.14,1937.924539,1359657400,21226.45,8786082.11"
"Wheat and products,2018,61.16,85342.98,168314.88,2018.400292,1374659064,21280.35,8408012.88"
"Wheat and products,2019,60.42,1665.86,190058.07,2064.051291,1389030312,13658,8389782.95"
"Wheat and products,2020,62.66,221.6,928683.78,1916.459344,1402617695,19487,8788798.48"
"Wheat and products,2021,62.26,56.66,6090607.37,2255.866685,1414203896,15962,8804845.45"
"Wheat and products,2022,66.72,49.56,6798598.3,2445.390241,1425423212,16129,9511608.06"
"Wheat and products,2023,71.43,85007.6,157566.49,2586.652118,1438069596,15892,10271826.24"
"Rice and products,2010,102.91,1,11078,1345.8016,1243481564,20882.95,12799445.99"
"Rice and products,2011,108.55,1,38687,1488.459342,1261224954,20460.26,13696603.03"
"Rice and products,2012,102.37,1,251173,1460.098786,1278674502,19271.96,13090203.29"
"Rice and products,2013,103.77,2,241330,1484.785136,1295829511,19080.57,13448019.28"
"Rice and products,2014,104.4,1,181609.74,1562.780452,1312277191,18506.59,13694179.88"
"Rice and products,2015,98.34,3.56,200212.4,1622.808195,1328024498,29476.27,13061642.39"
"Rice and products,2016,99.68,13.99,103803.11,1711.137592,1343944296,18873.08,13395050.29"
"Rice and products,2017,99.68,4.9,167297.36,1937.924539,1359657400,21226.45,13555024.95"
"Rice and products,2018,97.84,63.43,242697.85,2018.400292,1374659064,21280.35,13449658.24"
"Rice and products,2019,101.67,41.05,247392.28,2064.051291,1389030312,13658,14117529.91"
"Rice and products,2020,104.93,0.3,414411.78,1916.459344,1402617695,19487,14721670.44"
"Rice and products,2021,102.97,228.31,691012.9,2255.866685,1414203896,15962,14561475.48"
"Rice and products,2022,98.98,1.41,460635.15,2445.390241,1425423212,16129,14110632.55"
"Rice and products,2023,95.09,31.26,444995.63,2586.652118,1438069596,15892,13677077.55"
"Maize and products,2010,7.41,7050,2293396,1345.8016,1243481564,20882.95,9214196.83"
"Maize and products,2011,6.61,12261,3952102,1488.459342,1261224954,20460.26,8336692.91"
"Maize and products,2012,6.72,2426,4271696,1460.098786,1278674502,19271.96,8589689.65"
"Maize and products,2013,7.12,11628,4749727,1484.785136,1295829511,19080.57,9226268.46"
"Maize and products,2014,6.51,6983.9,3571036.58,1562.780452,1312277191,18506.59,8542918.49"
"Maize and products,2015,7.96,28464.52,913830.95,1622.808195,1328024498,29476.27,10575079.2"
"Maize and products,2016,7.61,179880.77,482847.74,1711.137592,1343944296,18873.08,10227409.1"
